OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 22, 35, 574366)), ('pm1_cf', 2), ('pm25_cf', 3), ('pm10_cf', 3), ('pm1', 2), ('pm25', 3), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 27, 36, 654549)), ('pm1_cf', 1), ('pm25_cf', 3), ('pm10_cf', 3), ('pm1', 1), ('pm25', 3), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 32, 37, 743087)), ('pm1_cf', 1), ('pm25_cf', 1), ('pm10_cf', 1), ('pm1', 1), ('pm25', 1), ('pm10', 1)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 37, 38, 845424)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 2), ('pm1', 1), ('pm25', 2), ('pm10', 2)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 42, 39, 968857)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 3), ('pm1', 1), ('pm25', 2), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 47, 41, 88828)), ('pm1_cf', 1), ('pm25_cf', 1), ('pm10_cf', 1), ('pm1', 1), ('pm25', 1), ('pm10', 1)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 52, 42, 197271)), ('pm1_cf', 1), ('pm25_cf', 3), ('pm10_cf', 3), ('pm1', 1), ('pm25', 3), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 57, 43, 317833)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 3), ('pm1', 1), ('pm25', 2), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 2, 44, 481237)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 3), ('pm1', 1), ('pm25', 2), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 7, 45, 641046)), ('pm1_cf', 1), ('pm25_cf', 3), ('pm10_cf', 4), ('pm1', 1), ('pm25', 3), ('pm10', 4)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 12, 46, 764988)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 2), ('pm1', 1), ('pm25', 2), ('pm10', 2)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 17, 47, 879491)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 2), ('pm1', 1), ('pm25', 2), ('pm10', 2)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 22, 48, 984337)), ('pm1_cf', 0), ('pm25_cf', 1), ('pm10_cf', 1), ('pm1', 0), ('pm25', 1), ('pm10', 1)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 27, 50, 59432)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 2), ('pm1', 1), ('pm25', 2), ('pm10', 2)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 32, 51, 162207)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 5), ('pm1', 1), ('pm25', 2), ('pm10', 5)])
